year,cpi,income <=24,income 25-34,income 35-44,income 45-54,income 55-64,income 65-74,income >=75,house_price,%homeown <=24,%homeown 25-34,%homeown 35-44,%homeown 45-54,%homeown 55-64,%homeown 65-74,%homeown >=75,medical <=24,medical 25-34,medical 35-44,medical 45-54,medical 55-64,medical 65-74,medical >=75,tuition_cost,adj_income <=24,adj_income 25-34,adj_income 35-44,adj_income 45-54,adj_income 55-64,adj_income 65-74,adj_income >=75,adj_house_price,adj_medical <=24,adj_medical 25-34,adj_medical 35-44,adj_medical 45-54,adj_medical 55-64,adj_medical 65-74,adj_medical >=75,apcp <=24,h_pti <=24,apcp 25-34,h_pti 25-34,apcp 35-44,h_pti 35-44,apcp 45-54,h_pti 45-54,apcp 55-64,h_pti 55-64,apcp 65-74,h_pti 65-74,apcp >=75,h_pti >=75,RANK_adj_income <=24,RANK_apcp <=24,RANK_h_pti <=24,RANK_adj_income 25-34,RANK_apcp 25-34,RANK_h_pti 25-34,RANK_adj_income 35-44,RANK_apcp 35-44,RANK_h_pti 35-44,RANK_adj_income 45-54,RANK_apcp 45-54,RANK_h_pti 45-54,RANK_adj_income 55-64,RANK_apcp 55-64,RANK_h_pti 55-64,RANK_adj_income 65-74,RANK_apcp 65-74,RANK_h_pti 65-74,RANK_adj_income >=75,RANK_apcp >=75,RANK_h_pti >=75,COMBINED <=24,INDEX <=24,COMBINED 25-34,INDEX 25-34,COMBINED 35-44,INDEX 35-44,COMBINED 45-54,INDEX 45-54,COMBINED 55-64,INDEX 55-64,COMBINED 65-74,INDEX 65-74,COMBINED >=75,INDEX >=75
2000,172.192,16908.0,42770.0,50870.0,50826.0,35544.0,9174.0,2147.0,167550.0,12.0,46.0,69.0,75.0,81.0,82.0,77.0,178.0,367.0,555.0,699.0,721.0,686.0,658.0,12984,28733.25048782754,72682.82016586135,86447.86209580002,86373.08902852629,60403.04325404199,15590.184526574985,3648.5858053800407,284732.4414026203,302.49104488013376,623.6753565787028,943.1602803846868,1187.8721369169298,1225.2586705538004,1165.7800943133245,1118.197233320944,45.188065323484714,9.909510290986514,17.86391883304839,3.917465513210194,15.019457607420478,3.293689797523098,15.032459931717618,3.2965411403612324,21.49560568561444,4.713875759621877,83.28317075315888,18.263570961412686,355.86390707474595,78.03912435957149,23.0,10.0,18.0,19.0,4.0,3.0,23.0,6.0,10.0,25.0,11.0,18.0,24.0,10.0,19.0,23.0,24.0,24.0,26.0,25.0,27.0,51.0,0.4864864864864865,26.0,0.8108108108108107,39.0,0.8541666666666666,54.0,0.5735294117647058,53.0,0.45614035087719296,71.0,0.3414634146341463,78.0,0.2210526315789474
2001,177.042,17650.0,46301.0,53591.0,53952.0,38830.0,10880.0,2702.0,173100.0,13.0,48.0,68.0,77.0,81.0,82.0,78.0,135.0,354.0,573.0,676.0,769.0,866.0,507.0,13491,29172.516408535826,76527.85735023327,88577.01568554353,89173.68868404107,64179.536098778815,17982.831644468544,4465.956902881802,286105.52919646184,223.1325617650049,585.1031619615684,947.0737621581319,1117.3156426158764,1271.029185165102,1431.3540628777353,837.9867319619074,46.245582009691006,9.807365439093484,17.62887459171608,3.738580160255718,15.230813428953486,3.230019966039074,15.12890203275219,3.208407473309608,21.020719095314096,4.457893381406129,75.02155537417704,15.909926470588234,302.0853154963161,64.06365655070317,22.0,12.0,15.0,8.0,3.0,1.0,22.0,8.0,5.0,23.0,13.0,13.0,22.0,6.0,10.0,22.0,20.0,22.0,21.0,20.0,21.0,49.0,0.5135135135135135,12.0,1.0,35.0,0.9375,49.0,0.6470588235294117,38.0,0.7192982456140351,64.0,0.426829268292683,62.0,0.3894736842105263
2002,179.867,18040.0,46183.0,55638.0,57139.0,40391.0,13134.0,2925.0,186025.0,15.0,49.0,68.0,76.0,81.0,84.0,77.0,196.0,391.0,556.0,768.0,863.0,635.0,527.0,13990,29348.812400273535,75133.9358692812,90516.03239059972,92957.97071725219,65711.07991460357,21367.36707678451,4758.607332084262,302639.29194905126,318.86736310718476,636.1078519128022,904.5421116714016,1249.4394636036627,1403.9925222525533,1033.065181495216,857.3627569259509,47.668027616237076,10.311807095343681,18.62008137619723,4.0279973150293396,15.455825482528432,3.3434882634170893,15.049812180768246,3.2556572568648385,21.290169052435363,4.605605209081231,65.47367277272095,14.163621135982947,293.9935788707408,63.598290598290596,21.0,13.0,23.0,13.0,7.0,8.0,19.0,9.0,15.0,19.0,12.0,17.0,21.0,7.0,14.0,20.0,4.0,17.0,20.0,18.0,20.0,57.0,0.4054054054054054,28.0,0.7837837837837838,43.0,0.7708333333333334,48.0,0.6617647058823529,42.0,0.6491228070175439,41.0,0.7073170731707317,58.0,0.43157894736842106
2003,184.0,18525.0,47430.0,55795.0,59835.0,45121.0,12359.0,2575.0,192125.0,15.0,48.0,69.0,76.0,82.0,83.0,78.0,129.0,394.0,598.0,718.0,742.0,681.0,695.0,14891,29460.891440217387,75429.42407608694,88732.54725543478,95157.48660326086,71757.3485923913,19654.907277173912,4095.1036684782603,305542.44361413043,205.1527663043478,626.5906195652174,951.0182499999999,1141.8580326086956,1180.0259891304347,1083.0157663043478,1105.2804076086954,50.544974276209885,10.371120107962215,19.741632900417212,4.0507063040269875,16.781891719092894,3.443408907608209,15.64879499401334,3.2109133450321723,20.75188157325388,4.257995168546797,75.76225005799726,15.545351565660653,363.62937804535466,74.6116504854369,20.0,21.0,24.0,11.0,14.0,10.0,21.0,17.0,19.0,14.0,14.0,15.0,14.0,4.0,7.0,21.0,21.0,21.0,22.0,27.0,25.0,65.0,0.29729729729729726,35.0,0.6891891891891893,57.0,0.47916666666666663,43.0,0.7352941176470589,25.0,0.9473684210526316,63.0,0.4390243902439024,74.0,0.26315789473684215
2004,188.908,19954.0,48542.0,59294.0,61021.0,45535.0,16264.0,4363.0,218150.0,15.0,49.0,69.0,77.0,83.0,83.0,78.0,184.0,403.0,654.0,809.0,892.0,631.0,723.0,15422,30909.010915366212,75192.20245833951,91847.19320515807,94522.33913333475,70534.31953649396,25193.151925805156,6758.34492451352,337917.24622567603,285.0184428399009,624.2523503504352,1013.0546827026914,1253.1517405297818,1381.719842462998,977.4273773477037,1119.9365987676542,49.89483501179604,10.932645083692494,20.510105430871786,4.494046392814471,16.790932266761867,3.6791243633419914,16.315719798518185,3.574998770914931,21.864533607672737,4.790820248160756,61.215047824974064,13.413059517953764,228.19196374636218,50.00000000000001,18.0,20.0,30.0,12.0,15.0,21.0,16.0,18.0,26.0,15.0,16.0,26.0,18.0,12.0,23.0,17.0,1.0,15.0,18.0,6.0,16.0,68.0,0.2567567567567568,48.0,0.5135135135135135,60.0,0.41666666666666663,57.0,0.5294117647058824,53.0,0.45614035087719296,33.0,0.8048780487804879,40.0,0.6210526315789473
2005,195.267,24041.0,50468.0,65224.0,65522.0,46563.0,15947.0,5018.0,236550.0,19.0,48.0,69.0,75.0,82.0,83.0,78.0,197.0,399.0,665.0,771.0,979.0,733.0,805.0,15744,36027.08835082221,75629.76144458613,97742.6400979172,98189.2135486283,69777.85095791916,23897.673887548845,7519.817368014053,354486.40860974975,295.21801942980636,597.9288819923489,996.5481366539149,1155.3964110679224,1467.0986853897484,1098.4508032591273,1206.3477443705285,43.70045074608615,9.839440955035148,20.81720171963734,4.687128477451059,16.107606653787826,3.6267324911075685,16.034347797482635,3.610237782729465,22.563033661633852,5.080213903743315,65.88088896887547,14.833511005204741,209.36678684469055,47.140294938222404,9.0,8.0,16.0,10.0,16.0,25.0,9.0,14.0,24.0,12.0,15.0,27.0,19.0,14.0,32.0,18.0,5.0,19.0,12.0,3.0,12.0,33.0,0.7297297297297297,51.0,0.472972972972973,47.0,0.6875,54.0,0.5735294117647058,65.0,0.24561403508771928,42.0,0.6951219512195121,27.0,0.7578947368421053
2006,201.558,25626.0,52748.0,67470.0,66994.0,48023.0,17551.0,5664.0,243750.0,20.0,50.0,68.0,75.0,80.0,83.0,77.0,193.0,469.0,634.0,798.0,978.0,636.0,692.0,16224,37203.71181496145,76579.30971730221,97952.64325901229,97261.58859484615,69719.57591859414,25480.463047857193,8222.969785371952,353875.15628255886,280.1965340001389,680.8920955754671,920.4383552128916,1158.5328193373618,1419.8560116690976,923.3419462387997,1004.6424949642286,43.60855196570878,9.51182392882229,21.185879136142663,4.621028285432623,16.563105864432387,3.6127167630057806,16.680788617984494,3.638385527062125,23.270365297321145,5.075692897153448,63.672312271281015,13.88809754429947,197.30098034485403,43.03495762711865,7.0,7.0,12.0,7.0,17.0,23.0,8.0,15.0,23.0,13.0,18.0,28.0,20.0,19.0,30.0,15.0,3.0,16.0,5.0,2.0,7.0,26.0,0.8243243243243243,47.0,0.527027027027027,46.0,0.7083333333333333,59.0,0.5,69.0,0.17543859649122806,34.0,0.7926829268292683,14.0,0.8947368421052632
2007,207.344,27685.0,52914.0,69903.0,70023.0,54021.0,18489.0,5180.0,244950.0,16.0,47.0,68.0,75.0,81.0,81.0,77.0,267.0,556.0,651.0,772.0,883.0,1027.0,651.0,16379,39071.36152963191,74676.61274982637,98652.89452793424,98822.24845184814,76238.90269793193,26093.205827031405,7310.444382282583,345693.69718921214,376.81248070838797,784.6731808009877,918.7450372328111,1089.5102438459758,1246.1626234663167,1449.3873321629756,918.7450372328111,41.92073006613319,8.847751489976522,21.933239064914716,4.629209660959293,16.60265527775485,3.5041414531565174,16.574202931621,3.4981363266355343,21.483782452766466,4.534347753651359,62.77112942186691,13.248417978257343,224.04930731291452,47.28764478764479,6.0,4.0,3.0,15.0,18.0,24.0,7.0,16.0,21.0,9.0,17.0,23.0,8.0,9.0,12.0,12.0,2.0,13.0,13.0,5.0,14.0,13.0,1.0,57.0,0.3918918918918919,44.0,0.75,49.0,0.6470588235294117,29.0,0.8771929824561404,27.0,0.8780487804878049,32.0,0.7052631578947368
2008,215.254,25371.0,55684.0,70592.0,72664.0,54256.0,17321.0,5185.0,229550.0,15.0,46.0,67.0,75.0,81.0,81.0,76.0,143.0,472.0,711.0,838.0,1022.0,853.0,728.0,17044,34489.89282893697,75698.04864950244,95964.31021955457,98781.03238035065,73756.79418733217,23546.546596114356,7048.602511451587,312055.2953719791,194.39733059548254,641.6471331543199,966.5489654083083,1139.1955457273732,1389.3291739061758,1159.5868741115148,989.659137577002,49.417375938321584,9.047731662133932,22.515771944026238,4.122369082680843,17.760769562148074,3.251784904805077,17.254324630231707,3.1590608829681823,23.1083796249476,4.2308684753759955,72.38428756602718,13.252699035852434,241.80679747949023,44.271938283510124,10.0,17.0,4.0,9.0,19.0,14.0,10.0,19.0,7.0,10.0,19.0,9.0,10.0,18.0,5.0,19.0,12.0,14.0,15.0,8.0,9.0,31.0,0.7567567567567568,42.0,0.5945945945945945,36.0,0.9166666666666666,38.0,0.8088235294117647,33.0,0.8070175438596492,45.0,0.6585365853658536,32.0,0.7052631578947368
2009,214.565,22749.0,54461.0,69677.0,72345.0,53711.0,18760.0,6048.0,215650.0,14.0,46.0,65.0,74.0,81.0,81.0,77.0,167.0,466.0,650.0,862.0,1054.0,818.0,824.0,17726,31024.79495257847,74273.21455502995,95024.6005499499,98663.18479248713,73250.37415701535,25584.64782233822,8248.184969589634,294100.70910912775,227.75246195791485,635.5248339663972,886.4616782793092,1175.5845641180995,1437.4317060098338,1115.5779274345768,1123.7606506186937,57.134946506799686,9.479537562090641,23.865938893578637,3.9597142909605036,18.654116825971066,3.0949954791394574,17.966174553641387,2.980855622365056,24.19919379797781,4.015006237083652,69.28373657159841,11.495202558635395,214.9078865878284,35.65641534391534,16.0,25.0,11.0,16.0,20.0,5.0,11.0,20.0,1.0,11.0,20.0,3.0,11.0,21.0,2.0,14.0,7.0,2.0,4.0,4.0,1.0,52.0,0.472972972972973,41.0,0.6081081081081081,32.0,1.0,34.0,0.8676470588235294,34.0,0.7894736842105263,23.0,0.926829268292683,9.0,0.9473684210526316
